arrived_at,num_prefill_tokens,num_decode_tokens
0.000000,1135,394
0.002010,383,56
0.122108,1234,410
0.176035,2008,50
0.233922,4089,69
0.346396,3306,85
0.686965,879,400
0.844944,181,162
0.970611,2927,85
1.007157,400,85
1.011559,1243,463
1.367748,1273,421
1.487552,408,137
1.563731,436,121
1.699185,386,48
1.720776,69,117
1.843909,374,99
2.287182,4071,103
2.447844,1049,443
3.090910,399,96
3.104887,2363,82
4.020875,4079,87
4.215065,4094,69
4.360925,1322,257
4.363975,181,113
4.645285,1171,400
4.694223,200,179
4.695385,380,62
4.887326,4080,70
5.587833,1080,47
5.709326,206,162
5.819017,1931,48
5.830939,384,71
5.923131,181,135
5.933411,419,119
5.967553,385,104
6.196365,378,68
6.245495,434,96
6.521021,161,205
6.748755,2150,64
6.929898,401,93
7.031697,1044,456
7.311836,1500,119
7.340941,4088,36
7.497487,377,63
7.712697,393,56
7.811359,371,80
7.836955,385,80
7.846449,371,69
7.895313,75,138
8.044730,392,55
8.102972,4089,26
8.128071,4084,43
8.252299,900,420
8.302320,203,183
8.313508,376,87
8.428831,404,100
8.434661,1818,51
8.930355,4939,65
8.936824,415,162
9.034019,4095,80
9.091768,1166,610
9.118120,401,83
9.494266,1193,598
9.688714,2584,109
9.792900,4073,56
9.904902,439,39
10.099409,395,82
10.099649,397,86
10.189986,403,109
10.204908,2338,93
10.429852,381,51
10.659058,4096,102
10.824538,4123,230
11.109203,1047,394
11.349527,1475,77
11.516169,4076,68
11.589113,409,103
11.751869,417,153
11.867308,378,57
12.077848,1848,101
12.246838,2481,66
12.457859,4119,52
12.571423,4094,51
12.605739,1193,598
12.612572,1121,50
12.677264,396,110
12.679852,1073,464
12.714560,1148,403
12.720796,4081,31
13.056607,390,104
13.060913,933,405
13.188547,4087,38
13.258889,1116,378
13.298617,4135,32
14.086059,906,425
14.110919,383,102
14.276885,1031,76
14.368842,380,99
14.620664,405,111
14.689784,397,99
14.764327,1093,550
14.826417,1992,80
14.921491,388,79
14.948633,4113,57
14.954386,1324,236
15.078335,4080,48
15.132782,378,99
15.458666,392,61
15.998437,4086,34
16.227388,882,399
16.411589,377,66
16.582400,4078,58
16.607838,439,101
16.655996,1239,429
16.669959,4088,89
16.785250,4086,31
16.910505,1018,30
17.410140,1210,60
17.513166,1314,236
17.534471,1071,397
17.577437,4074,116
17.648008,422,144
18.017209,1184,393
18.056521,1071,399
18.227427,4078,41
18.371507,1230,420
18.392766,425,184
18.464776,1186,659
18.699167,1101,385
18.703294,1104,447
18.939644,2716,74
19.143840,237,14
19.150411,373,80
19.153874,1131,393
19.613700,379,78
19.655432,1266,50
20.003794,1082,424
20.082897,4082,51
20.277463,4079,53
20.590958,4112,75
20.707897,372,68
20.866436,1559,54
20.983473,181,155
21.468961,372,53
21.584680,167,217
21.672522,1135,430
22.019841,384,72
22.090806,2505,58
22.227487,402,129
22.252515,1076,427
22.329019,383,80
22.494562,1155,47
23.158149,1241,126
23.177276,1266,405
23.215909,1182,595
23.301234,4080,55
23.722861,376,70
24.249626,404,95
24.277878,906,423
24.664381,378,15
24.792757,4086,51
24.955717,181,290
25.089364,4081,66
25.198638,428,80
25.456293,409,109
25.510168,1313,163
25.543575,4075,104
25.566864,1120,409
25.826204,1995,56
25.837114,1140,416
26.020195,163,205
26.030859,375,70
26.035859,1104,415
26.435071,4077,37
26.449093,4085,44
26.546737,382,60
26.814654,1060,384
26.820790,387,101
27.027884,6781,41
27.089644,2911,131
27.141536,4085,35
27.152025,401,101
27.171202,1020,565
27.321250,1129,401
27.411236,1171,442
27.544399,1148,388
27.945060,383,116
27.959449,378,72
28.116229,377,55
28.155186,372,73
28.191101,4078,31
28.436142,4081,42
28.497684,1276,50
28.509431,4099,64
28.661977,1086,424
28.797946,990,89
28.821417,383,92
28.916926,1071,400
28.931460,4085,63
29.086146,431,112
29.224602,882,402
29.490318,1316,143
29.937667,1154,404
30.161122,1292,88
30.187209,1022,406
30.206666,2402,72
30.344522,379,74
30.755381,374,77
30.969424,1010,411
31.026478,372,60
31.063273,1230,421
31.121456,393,82
31.486805,375,82
31.591566,4112,42
31.612044,1140,400
31.864315,2212,97
31.904560,407,107
32.537279,398,90
32.552299,425,89
32.755141,2165,59
32.922334,4081,56
32.941278,415,52
33.503589,382,70
33.762417,1073,411
34.126649,396,59
34.184638,386,189
34.214482,414,84
35.174853,379,77
35.183402,432,78
35.204529,4135,36
35.206894,1014,394
35.208001,4095,63
35.419407,971,36
35.576693,381,85
35.651387,381,61
35.760138,396,95
35.884452,403,98
36.256890,1116,406
36.310497,409,98
36.451824,2104,45
36.459400,374,84
37.001846,400,150
37.127506,455,95
37.138100,1086,424
37.214444,1026,429
37.252896,382,72
37.444205,4154,42
37.507051,933,401
37.566716,423,94
37.601935,209,167
37.721151,1101,397
37.859307,1254,26
37.980497,1062,427
38.036638,1358,52
38.086012,4074,62
