arrived_at,num_prefill_tokens,num_decode_tokens
0.000000,1797,16
0.098753,7409,28
0.098908,1798,9
0.157941,4235,6
0.159930,2492,11
0.204439,126,32
0.206340,700,12
0.260509,1733,7
0.261449,894,9
0.295704,1561,219
0.296743,1797,14
0.297767,5186,7
0.309377,4434,10
0.359343,7436,7
0.407068,6593,7
0.407847,6183,15
0.498680,1601,67
0.499924,7154,13
0.503821,1510,6
0.505321,61,8
0.506235,1587,9
0.506440,100,33
0.507509,122,15
0.598761,621,154
0.598970,178,35
0.601411,700,14
0.602492,995,15
0.604613,1393,34
0.605467,1783,15
0.655435,977,11
0.694690,1701,15
0.695703,1799,11
0.699578,2347,9
0.704720,945,6
0.856702,7436,9
0.857351,1604,55
0.954728,349,6
0.956691,1352,13
0.964052,7411,8
0.965065,2380,36
1.061410,2892,57
1.062352,404,23
1.062567,7436,6
1.109922,2347,9
1.110762,1054,8
1.113050,5105,8
1.202510,2968,9
1.300031,1177,19
1.300162,3538,11
1.304278,2433,6
1.308151,208,8
1.308969,700,14
1.403638,882,77
1.404703,184,9
1.405319,1041,13
1.405601,5735,7
1.405711,945,7
1.407031,123,16
1.499226,6594,12
1.501066,1847,70
1.504729,945,10
1.508478,2968,9
1.509408,885,6
1.597907,1000,64
1.601366,1041,24
1.602178,1849,6
1.694660,184,9
1.703856,620,81
1.704861,1374,10
1.794848,2893,19
1.800590,1843,9
1.893842,430,18
1.900561,5510,9
1.993561,485,55
2.001392,186,13
2.307665,2101,10
2.308725,2989,7
2.499457,949,6
2.599930,1833,13
2.604016,1197,7
2.604822,1403,7
2.606267,895,20
2.606956,1692,30
2.608913,2968,9
2.703664,892,42
2.707532,1014,45
2.707648,131,15
2.756352,985,9
2.757313,1042,13
2.959387,349,15
2.960614,4232,33
2.961397,751,20
2.961464,1943,24
2.961614,2311,12
3.111697,299,7
3.158073,238,10
3.159089,4102,6
3.159870,7435,46
3.199966,4056,32
3.201075,897,12
3.201152,6185,15
3.260297,2310,30
3.260329,7434,40
3.299422,2410,16
3.303792,6596,26
3.308309,1402,6
3.360067,909,19
3.363271,3147,7
3.363345,237,6
3.399649,1003,13
3.399710,2169,16
3.407452,1059,10
3.409450,2571,7
3.480707,2882,6
3.480989,3053,9
3.496839,1701,13
3.496846,3543,11
3.500986,899,6
3.502028,1403,6
3.506270,900,9
3.508300,1261,13
3.558028,3053,9
3.596911,1510,11
3.599517,1056,15
3.606925,1584,12
3.607023,6191,11
3.608021,1852,110
3.664672,7436,17
